குறள்,எண்,மாத்திரை,உயிர்க்குறில்,உயிர்நெடில்,ஆய்தம்,மெய்,உயிர்மெய்க்குறில்,உயிர்மெய்நெடில்,உயிரளபெடை,ஒற்றளபெடை,ஐகாரக்குறுக்கம்_முதல்,ஐகாரக்குறுக்கம்_இடைகடை,ஒளகாரக்குறுக்கம்,குற்றியலுகரம்,குற்றியலிகரம்,மகரக்குறுக்கம்,ஆய்தக்குறுக்கம்
"திறனல்ல தற்பிறர் செய்யினும் நோநொந்து
அறனல்ல செய்யாமை நன்று.",157,1 1 1 0.5 1    1 0.5 1 1 0.5    1 0.5 1 1 0.5    2 1 0.5 0.5    1 1 1 0.5 1    1 0.5 2 1    1 0.5 0.5    ,1,0,0,9,16,2,0,0,0,1,0,2,0,0,0
"மிகுதியான் மிக்கவை செய்தாரைத் தாந்தம்
தகுதியான் வென்று விடல்.",158,1 1 0.5* 2 0.5    1 0.5 1 1    1 0.5 2 1 0.5    2 0.5 1 0.5    1 1 0.5* 2 0.5    1 0.5 0.5    1 1 0.5    ,0,0,0,9,11,4,0,0,0,2,0,1,2,0,0
"துறந்தாரின் தூய்மை உடையர் இறந்தார்வாய்
இன்னாச்சொல் நோற்கிற் பவர்.",159,1 1 0.5 2 1 0.5    2 0.5 1    1 1 1 0.5    1 1 0.5 2 0.5 2 0.5    1 0.5 2 0.5 1 0.5    2 0.5 1 0.5    1 1 0.5    ,3,0,0,13,9,6,0,0,0,2,0,0,0,0,0
"உண்ணாது நோற்பார் பெரியர் பிறர்சொல்லும்
இன்னாச்சொல் நோற்பாரின் பின்.",160,1 0.5 2 0.5    2 0.5 2 0.5    1 1 1 0.5    1 1 0.5 1 0.5 1 0.5    1 0.5 2 0.5 1 0.5    2 0.5 2 1 0.5    1 0.5    ,2,0,0,13,10,6,0,0,0,0,0,1,0,0,0
"ஒழுக்காறாக் கொள்க ஒருவன்தன் நெஞ்சத்து
அழுக்காறு இலாத இயல்பு.",161,1 1 0.5 2 2 0.5    1 0.5 1    1 1 1 0.5 1 0.5    1 0.5 1 0.5 0.5    1 1 0.5 2 0.5    1 2 1    1 1 0.5 0.5    ,5,0,0,9,11,4,0,0,0,0,0,3,0,0,0
"விழுப்பேற்றின் அஃதொப்பது இல்லையார் மாட்டும்
அழுக்காற்றின் அன்மை பெறின்.",162,1 1 0.5 2 0.5 1 0.5    1 0.5 1 0.5 1 0.5    1 0.5 1 2 0.5    2 0.5 1 0.5    1 1 0.5 2 0.5 1 0.5    1 0.5 1    1 1 0.5    ,4,0,1,13,10,4,0,0,0,2,0,1,0,0,0
"அறன்ஆக்கம் வேண்டாதான் என்பான் பிறனாக்கம்
பேணாது அழுக்கறுப் பான்.",163,1 1 2 0.5 1 0.5    2 0.5 2 2 0.5    1 0.5 2 0.5    1 1 2 0.5 1 0.5    2 2 0.5    1 1 0.5 1 1 0.5    2 0.5    ,3,0,0,11,8,9,0,0,0,0,0,1,0,0,0
"அழுக்காற்றின் அல்லவை செய்யார் இழுக்காற்றின்
ஏதம் படுபாக்கு அறிந்து.",164,1 1 0.5 2 0.5 1 0.5    1 0.5 1 1    1 0.5 2 0.5    1 1 0.5 2 0.5 1 0.5    2 1 0.5    1 1 2 0.5 0.5    1 1 0.5 0.5    ,4,1,0,12,10,4,0,0,0,1,0,2,0,0,0
"அழுக்காறு உடையார்க்கு அதுசாலும் ஒன்னார்
வழுக்காயும் கேடீன் பது.",165,1 1 0.5 2 0.5    1 1 2 0.5 0.5 0.5    1 1 2 1 0.5    1 0.5 2 0.5    1 1 0.5 2 1 0.5    2 2 0.5    1 1    ,4,0,0,9,8,7,0,0,0,1,0,2,0,0,0
"கொடுப்பது அழுக்கறுப்பான் சுற்றம் உடுப்பதூஉம்
உண்பதூஉம் இன்றிக் கெடும்.",166,1 1 0.5 1 0.5    1 1 0.5 1 1 0.5 2 0.5    1 0.5 1 0.5    1 1 0.5 1 3 0.5    1 0.5 1 3 0.5    1 0.5 1 0.5    1 1 0.5    ,4,0,0,13,14,1,2,0,0,0,0,1,0,0,0
"அவ்வித்து அழுக்காறு உடையானைச் செய்யவள்
தவ்வையைக் காட்டி விடும்.",167,1 0.5 1 0.5 0.5    1 1 0.5 2 0.5    1 1 2 1 0.5    1 0.5 1 1 0.5    1 0.5 1 1 0.5    2 0.5 1    1 1 0.5    ,3,0,0,10,9,3,0,0,0,4,0,2,0,0,0
"அழுக்காறு எனஒரு பாவி திருச்செற்றுத்
தீயுழி உய்த்து விடும்.",168,1 1 0.5 2 0.5    1 1    2 1    1 1 0.5 1 0.5 1 0.5    2 1 1    1 0.5 0.5 0.5    1 1 0.5    ,3,0,0,7,11,3,0,0,0,0,0,2,0,0,0
"அவ்விய நெஞ்சத்தான் ஆக்கமும் செவ்வியான்
கேடும் நினைக்கப் படும்.",169,1 0.5 1 1    1 0.5 1 0.5 2 0.5    2 0.5 1 1 0.5    1 0.5 1 2 0.5    2 1 0.5    1 1 0.5 1 0.5    1 1 0.5    ,1,1,0,12,13,3,0,0,0,1,0,0,0,0,0
"அழுக்கற்று அகன்றாரும் இல்லை அஃதுஇல்லார்
பெருக்கத்தில் தீர்ந்தாரும் இல்.",170,1 1 0.5 1 0.5 0.5    1 1 0.5 2 1 0.5    1 0.5 1    1 0.5 0.5    1 1 0.5 1 0.5 1 0.5    2 0.5 0.5 2 1 0.5    1 0.5    ,5,0,1,12,9,3,0,0,0,1,0,2,0,0,0
"நடுவின்றி நன்பொருள் வெஃகின் குடிபொன்றிக்
குற்றமும் ஆங்கே தரும்.",171,1 1 1 0.5 1    1 0.5 1 1 0.5    1 0.5 1 0.5    1 1 1 0.5 1 0.5    1 0.5 1 1 0.5    2 0.5 2    1 1 0.5    ,0,1,1,10,18,1,0,0,0,0,0,0,0,0,0
"படுபயன் வெஃகிப் பழிப்படுவ செய்யார்
நடுவன்மை நாணு பவர்.",172,1 1 1 1 0.5    1 0.5 1 0.5    1 1 0.5 1 1 1    1 0.5 2 0.5    1 1 1 0.5 1    2 1    1 1 0.5    ,0,0,1,7,18,2,0,0,0,1,0,0,0,0,0
"சிற்றின்பம் வெஃகி அறனல்ல செய்யாரே
மற்றின்பம் வேண்டு பவர்.",173,1 0.5 1 0.5 1 0.5    1 0.5 1    1 1 1 0.5 1    1 0.5 2 2    1 0.5 1 0.5 1 0.5    2 0.5 0.5    1 1 0.5    ,1,0,1,10,14,3,0,0,0,0,0,1,0,0,0
"இலமென்று வெஃகுதல் செய்யார் புலம்வென்ற
புன்மையில் காட்சி யவர்.",174,1 1 1 0.5 0.5    1 0.5 1 1 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5 1    1 0.5 1 1 0.5    2 0.5 1    1 1 0.5    ,1,0,1,10,15,2,0,0,0,1,0,1,0,0,0
"அஃகி அகன்ற அறிவென்னாம் யார்மாட்டும்
வெஃகி வெறிய செயின்.",175,1 0.5 1    1 1 0.5 1    1 1 1 0.5 2 0.5    2 0.5 2 0.5 1 0.5    1 0.5 1    1 1 1    1 1 0.5    ,3,0,2,7,13,3,0,0,0,0,0,0,0,0,0
"அருள்வெஃகி ஆற்றின்கண் நின்றான் பொருள்வெஃகிப்
பொல்லாத சூழக் கெடும்.",176,1 1 0.5 1 0.5 1    2 0.5 1 0.5 1 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5 1 0.5    1 0.5 2 1    2 1 0.5    1 1 0.5    ,1,1,2,11,15,3,0,0,0,0,0,0,0,0,0
"வேண்டற்க வெஃகியாம் ஆக்கம் விளைவயின்
மாண்டற் கரிதாம் பயன்.",177,2 0.5 1 0.5 1    1 0.5 0.5* 2 0.5    2 0.5 1 0.5    1 1 1 1 0.5    2 0.5 1 0.5    1 1 2 0.5    1 1 0.5    ,0,1,1,10,12,4,0,0,0,1,0,0,1,0,0
"அஃகாமை செல்வத்திற்கு யாதெனின் வெஃகாமை
வேண்டும் பிறன்கைப் பொருள்.",178,1 0.5 2 1    1 0.5 1 0.5 1 0.5 0.5    2 1 1 0.5    1 0.5 2 1    2 0.5 1 0.5    1 1 0.5 1 0.5    1 1 0.5    ,1,0,2,9,11,4,0,0,0,3,0,1,0,0,0
"அறனறிந்து வெஃகா அறிவுடையார்ச் சேரும்
திறன்அறிந் தாங்கே திரு.",179,1 1 1 1 0.5 0.5    1 0.5 2    1 1 1 1 2 0.5 0.5    2 1 0.5    1 1 1 1 0.5    2 0.5 2    1 1    ,2,0,1,6,13,5,0,0,0,1,0,1,0,0,0
"இறலீனும் எண்ணாது வெஃகின் விறல்ஈனும்
வேண்டாமை என்னுஞ் செருக்கு.",180,1 1 2 1 0.5    1 0.5 2 0.5    1 0.5 1 0.5    1 1 2 1 0.5    2 0.5 2 1    1 0.5 1 0.5    1 1 0.5 0.5    ,3,0,1,8,10,5,0,0,0,1,0,2,0,0,0
"அறங்கூறான் அல்ல செயினும் ஒருவன்
புறங்கூறான் என்றல் இனிது.",181,1 1 0.5 2 2 0.5    1 0.5 1    1 1 1 0.5    1 1 1 0.5    1 1 0.5 2 2 0.5    1 0.5 1 0.5    1 1 0.5    ,5,0,0,9,11,4,0,0,0,0,0,1,0,0,0
"அறனழீஇ அல்லவை செய்தலின் தீதே
புறனழீஇப் பொய்த்து நகை.",182,1 1 1 3    1 0.5 1 1    1 0.5 1 1 0.5    2 2    1 1 1 3 0.5    1 0.5 0.5 0.5    1 1    ,2,0,0,6,11,2,2,0,0,2,0,1,0,0,0
"புறங்கூறிப் பொய்த்துயிர் வாழ்தலின் சாதல்
அறங்கூற்றும் ஆக்கத் தரும்.",183,1 1 0.5 2 1 0.5    1 0.5 0.5 1 1 0.5    2 0.5 1 1 0.5    2 1 0.5    1 1 0.5 2 0.5 1 0.5    2 0.5 1 0.5    1 1 0.5    ,1,1,0,14,14,4,0,0,0,0,0,0,0,0,0
"கண்ணின்று கண்ணறச் சொல்லினும் சொல்லற்க
முன்னின்று பின்நோக்காச் சொல்.",184,1 0.5 1 0.5 0.5    1 0.5 1 1 0.5    1 0.5 1 1 0.5    1 0.5 1 0.5 1    1 0.5 1 0.5 0.5    1 0.5 2 0.5 2 0.5    1 0.5    ,0,0,0,14,15,2,0,0,0,0,0,2,0,0,0
"அறஞ்சொல்லும் நெஞ்சத்தான் அன்மை புறஞ்சொல்லும்
புன்மையாற் காணப் படும்.",185,1 1 0.5 1 0.5 1 0.5    1 0.5 1 0.5 2 0.5    1 0.5 1    1 1 0.5 1 0.5 1 0.5    1 0.5 1 2 0.5    2 1 0.5    1 1 0.5    ,2,0,0,14,13,3,0,0,0,2,0,0,0,0,0
"பிறன்பழி கூறுவான் தன்பழி யுள்ளும்
திறன்தெரிந்து கூறப் படும்.",186,1 1 0.5 1 1    2 1 2 0.5    1 0.5 1 1    1 0.5 1 0.5    1 1 0.5 1 1 0.5 0.5    2 1 0.5    1 1 0.5    ,0,0,0,9,17,3,0,0,0,0,0,1,0,0,0
"பகச்சொல்லிக் கேளிர்ப் பிரிப்பர் நகச்சொல்லி
நட்பாடல் தேற்றா தவர்.",187,1 1 0.5 1 0.5 1 0.5    2 1 0.5 0.5    1 1 0.5 1 0.5    1 1 0.5 1 0.5 1    1 0.5 2 1 0.5    2 0.5 2    1 1 0.5    ,0,0,0,13,16,4,0,0,0,0,0,0,0,0,0
"துன்னியார் குற்றமும் தூற்றும் மரபினார்
என்னைகொல் ஏதிலார் மாட்டு.",188,1 0.5 1 2 0.5    1 0.5 1 1 0.5    2 0.5 1 0.5    1 1 1 2 0.5    1 0.5 1 1 0.5    2 1 2 0.5    2 0.5 0.5    ,1,1,0,11,11,5,0,0,0,1,0,1,0,0,0
"அறன்நோக்கி ஆற்றுங்கொல் வையம் புறன்நோக்கிப்
புன்சொல் உரைப்பான் பொறை.",189,1 1 0.5 2 0.5 1    2 0.5 1 0.5 1 0.5    2 1 0.5    1 1 0.5 2 0.5 1 0.5    1 0.5 1 0.5    1 1 0.5 2 0.5    1 1    ,2,1,0,13,11,4,0,0,0,2,0,0,0,0,0
"ஏதிலார் குற்றம்போல் தங்குற்றங் காண்கிற்பின்
தீதுண்டோ மன்னும் உயிர்க்கு.",190,2 1 2 0.5    1 0.5 1 0.5 2 0.5    1 0.5 1 0.5 1 0.5    2 0.5 1 0.5 1 0.5    2 1 0.5 2    1 0.5 1 0.5    1 1 0.5 0.5 0.5    ,1,1,0,15,12,5,0,0,0,0,0,1,0,0,0
"பல்லார் முனியப் பயனில சொல்லுவான்
எல்லாரும் எள்ளப் படும்.",191,1 0.5 2 0.5    1 1 1 0.5    1 1 1 1    1 0.5 1 2 0.5    1 0.5 2 1 0.5    1 0.5 1 0.5    1 1 0.5    ,2,0,0,10,14,3,0,0,0,0,0,0,0,0,0
"பயனில பல்லார்முன் சொல்லல் நயனில
நட்டார்கண் செய்தலிற் றீது.",192,1 1 1 1    1 0.5 2 0.5 1 0.5    1 0.5 1 0.5    1 1 1 1    1 0.5 2 0.5 1 0.5    1 0.5 1 1 0.5    2 0.5    ,0,0,0,10,17,3,0,0,0,0,0,1,0,0,0
"நயனிலன் என்பது சொல்லும் பயனில
பாரித் துரைக்கும் உரை.",193,1 1 1 1 0.5    1 0.5 1 0.5    1 0.5 1 0.5    1 1 1 1    2 1 0.5    1 1 0.5 1 0.5    1 1    ,2,0,0,7,14,1,0,0,0,2,0,1,0,0,0
"நயன்சாரா நன்மையின் நீக்கும் பயன்சாராப்
பண்பில்சொல் பல்லா ரகத்து.",194,1 1 0.5 2 2    1 0.5 1 1 0.5    2 0.5 1 0.5    1 1 0.5 2 2 0.5    1 0.5 1 0.5 1 0.5    1 0.5 2    1 1 0.5 0.5    ,0,0,0,12,13,6,0,0,0,1,0,1,0,0,0
"சீர்மை சிறப்பொடு நீங்கும் பயனில
நீர்மை யுடையார் சொலின்.",195,2 0.5 1    1 1 0.5 1 0.5    2 0.5 1 0.5    1 1 1 1    2 0.5 1    1 1 2 0.5    1 1 0.5    ,0,0,0,7,11,4,0,0,0,3,0,1,0,0,0
"பயனில் சொல் பராட்டு வானை மகன்எனல்
மக்கட் பதடி யெனல்.",196,1 1 1 0.5    1 0.5    1 2 0.5 0.5    2 1    1 1 1 1 0.5    1 0.5 1 0.5    1 1 1    1 1 0.5    ,0,0,0,7,16,2,0,0,0,1,0,1,0,0,0
"நயனில சொல்லினுஞ் சொல்லுக சான்றோர்
பயனில சொல்லாமை நன்று.",197,1 1 1 1    1 0.5 1 1 0.5    1 0.5 1 1    2 0.5 2 0.5    1 1 1 1    1 0.5 2 1    1 0.5 0.5    ,0,0,0,7,16,3,0,0,0,1,0,1,0,0,0
"அரும்பயன் ஆயும் அறிவினார் சொல்லார்
பெரும்பயன் இல்லாத சொல்.",198,1 1 0.5 1 1 0.5    2 1 0.5    1 1 1 2 0.5    1 0.5 2 0.5    1 1 0.5 1 1 0.5    1 0.5 2 1    1 0.5    ,3,1,0,10,13,3,0,0,0,0,0,0,0,0,0
"பொருள்தீர்ந்த பொச்சாந்துஞ் சொல்லார் மருள்தீர்ந்த
மாசறு காட்சி யவர்.",199,1 1 0.5 2 0.5 0.5 1    1 0.5 2 0.5 1 0.5    1 0.5 2 0.5    1 1 0.5 2 0.5 0.5 1    2 1 0.5    2 0.5 1    1 1 0.5    ,0,0,0,13,13,6,0,0,0,0,0,1,0,0,0
"சொல்லுக சொல்லிற் பயனுடைய சொல்லற்க
சொல்லிற் பயனிலாச் சொல்.",200,1 0.5 1 1    1 0.5 1 0.5    1 1 1 1 1    1 0.5 1 0.5 1    1 0.5 1 0.5    1 1 1 2 0.5    1 0.5    ,0,0,0,9,18,1,0,0,0,1,0,0,0,0,0
"தீவினையார் அஞ்சார் விழுமியார் அஞ்சுவர்
தீவினை என்னும் செருக்கு.",201,2 1 1 2 0.5    1 0.5 2 0.5    1 1 0.5 2    1 0.5 1 1 0.5    2 1 1    1 0.5 1 0.5    1 1 0.5 0.5    ,3,0,0,8,9,5,0,0,0,2,0,1,1,0,0
"தீயவை தீய பயத்தலால் தீயவை
தீயினும் அஞ்சப் படும்.",202,2 1 1    2 1    1 1 0.5 1 2 0.5    2 1 1    2 1 1 0.5    1 0.5 1 0.5    1 1 0.5    ,1,0,0,6,11,5,0,0,0,2,0,0,0,0,0
"அறிவினுள் எல்லாந் தலையென்ப தீய
செறுவார்க்கும் செய்யா விடல்.",203,1 1 1 1 0.5    1 0.5 2 0.5    1 1 1 0.5 1    2 1    1 1 2 0.5 0.5 1 0.5    1 0.5 2    1 1 0.5    ,2,0,0,9,13,4,0,0,0,1,0,0,0,0,0
"மறந்தும் பிறன்கேடு சூழற்க சூழின்
அறஞ்சூழம் சூழ்ந்தவன் கேடு.",204,1 1 0.5 1 0.5    1 1 0.5 2 0.5    2 1 0.5 1    2 1 0.5    1 1 0.5 2 1 0.5    2 0.5 0.5 1 1 0.5    2 0.5    ,1,0,0,10,12,6,0,0,0,0,0,2,0,0,0
"இலன் என்று தீயவை செய்யற்க செய்யின்
இலனாகும் மற்றும் பெயர்த்து.",205,1 1 0.5    1 0.5 0.5    2 1 1    1 0.5 1 0.5 1    1 0.5 1 0.5    1 1 2 1 0.5    1 0.5 1 0.5    1 1 0.5 0.5 0.5    ,3,0,0,11,13,2,0,0,0,1,0,2,0,0,0
"தீப்பால தான்பிறர்கண் செய்யற்க நோய்ப்பால
தன்னை அடல்வேண்டா தான்.",206,2 0.5 2 1    2 0.5 1 1 0.5 1 0.5    1 0.5 1 0.5 1    2 0.5 0.5 2 1    1 0.5 1    1 1 0.5 2 0.5 2    2 0.5    ,1,0,0,12,10,8,0,0,0,1,0,0,0,0,0
"எனைப்பகை யுற்றாரும் உய்வர் வினைப்பகை
வீயாது பின்சென்று அடும்.",207,1 1 0.5 1 1    1 0.5 2 1 0.5    1 0.5 1 0.5    1 1 0.5 1 1    2 2 0.5    1 0.5 1 0.5 0.5    1 1 0.5    ,3,0,0,9,9,3,0,0,0,4,0,2,0,0,0
"தீயவை செய்தார் கெடுதல் நிழல்தன்னை
வீயாது அஇஉறைந் தற்று.",208,2 1 1    1 0.5 2 0.5    1 1 1 0.5    1 1 0.5 1 0.5 1    2 2 0.5    1    1 0.5 0.5    ,1,0,0,6,9,4,0,0,0,2,0,2,0,0,0
"தன்னைத்தான் காதல னாயின் எனைத்தொன்றும்
துன்னற்க தீவினைப் பால்.",209,1 0.5 1 0.5 2 0.5    2 1 1    2 1 0.5    1 1 0.5 1 0.5 1 0.5    1 0.5 1 0.5 1    2 1 1 0.5    2 0.5    ,1,0,0,11,10,5,0,0,0,3,0,0,0,0,0
"அருங்கேடன் என்பது அறிக மருங்கோடித்
தீவினை செய்யான் எனின்.",210,1 1 0.5 2 1 0.5    1 0.5 1 0.5    1 1 1    1 1 0.5 2 1 0.5    2 1 1    1 0.5 2 0.5    1 1 0.5    ,4,0,0,8,11,4,0,0,0,1,0,1,0,0,0
"கைம்மாறு வேண்டா கடப்பாடு மாரிமாட்டு
என் ஆற்றுங் கொல்லோ உலகு.",211,2 0.5 2 0.5    2 0.5 2    1 1 0.5 2 0.5    2 1 2 0.5 0.5    1 0.5    2 0.5 1 0.5    1 0.5 2    1 1 0.5    ,2,1,0,8,6,8,0,0,0,0,0,4,0,0,0
"தாளாற்றித் தந்த பொருளெல்லாம் தக்கார்க்கு
வேளாண்மை செய்தற் பொருட்டு.",212,2 2 0.5 1 0.5    1 0.5 1    1 1 1 0.5 2 0.5    1 0.5 2 0.5 0.5 0.5    2 2 0.5 1    1 0.5 1 0.5    1 1 0.5 0.5    ,0,0,0,12,11,6,0,0,0,1,0,2,0,0,0
"புத்தே ளுலகத்தும் ஈண்டும் பெறலரிதே
ஒப்புரவின் நல்ல பிற.",213,1 0.5 2    1 1 1 0.5 1 0.5    2 0.5 1 0.5    1 1 1 1 2    1 0.5 1 1 1 0.5    1 0.5 1    1 1    ,1,1,0,8,17,2,0,0,0,0,0,0,0,0,0
"ஒத்த தறவோன் உயிர்வாழ்வான் மற்றையான்
செத்தாருள் வைக்கப் படும்.",214,1 0.5 1    1 1 2 0.5    1 1 0.5 2 0.5 2 0.5    1 0.5 1 2 0.5    1 0.5 2 1 0.5    2 0.5 1 0.5    1 1 0.5    ,2,0,0,12,10,6,0,0,0,1,0,0,0,0,0
"ஊருணி நீர்நிறைந் தற்றே உலகவாம்
பேரறி வாளன் திரு.",215,2 1 1    2 0.5 1 1 0.5    1 0.5 2    1 1 1 2 0.5    2 1 1    2 1 0.5    1 1    ,1,1,0,5,11,5,0,0,0,1,0,0,0,0,0
"பயன்மரம் உள்ளூர்ப் பழுத்தற்றால் செல்வம்
நயனுடை யான்கண் படின்.",216,1 1 0.5 1 1 0.5    1 0.5 2 0.5 0.5    1 1 0.5 1 0.5 2 0.5    1 0.5 1 0.5    1 1 1 1    2 0.5 1 0.5    1 1 0.5    ,1,0,0,13,15,3,0,0,0,1,0,0,0,0,0
"மருந்தாகித் தப்பா மரத்தற்றால் செல்வம்
பெருந்தகை யான்கண் படின்.",217,1 1 0.5 2 1 0.5    1 0.5 2    1 1 0.5 1 0.5 2 0.5    1 0.5 1 0.5    1 1 0.5 1 1    2 0.5 1 0.5    1 1 0.5    ,0,0,0,12,15,4,0,0,0,1,0,0,0,0,0
"இடனில் பருவத்தும் ஒப்புரவிற்கு ஒல்கார்
கடனறி காட்சி யவர்.",218,1 1 1 0.5    1 1 1 0.5 1 0.5    1 0.5 1 1 1 0.5 0.5    1 0.5 2 0.5    1 1 1 1    2 0.5 1    1 1 0.5    ,3,0,0,9,16,2,0,0,0,0,0,1,0,0,0
"நயனுடையான் நல்கூர்ந்தா னாதல் செயும்நீர
செய்யாது அமைகலா வாறு.",219,1 1 1 1 2 0.5    1 0.5 2 0.5 0.5 2    2 1 0.5    1 1 0.5 2 1    1 0.5 2 0.5    1 1 1 2    2 0.5    ,1,0,0,7,10,8,0,0,0,2,0,2,0,0,0
"ஒப்புரவி னால்வரும் கேடெனின் அஃதொருவன்
விற்றுக்கோள் தக்க துடைத்து.",220,1 0.5 1 1 1    2 0.5 1 1 0.5    2 1 1 0.5    1 0.5 1 1 1 0.5    1 0.5 1 0.5 2 0.5    1 0.5 1    1 1 0.5 0.5    ,2,0,1,10,15,3,0,0,0,1,0,1,0,0,0
"வறியார்க்கொன்று ஈவதே ஈகைமற் றெல்லாம்
குறியெதிர்ப்பை நீர துடைத்து.",221,1 0.5* 2 0.5 0.5 1 0.5 0.5    2 1 2    2 1 1 0.5    1 0.5 2 0.5    1 0.5* 1 1 0.5 0.5 1    2 1    1 1 0.5 0.5    ,0,2,0,9,10,4,0,0,0,3,0,2,2,0,0
"நல்லாறு எனினும் கொளல்தீது மேலுலகம்
இல்லெனினும் ஈதலே நன்று.",222,1 0.5 2 0.5    1 1 1 0.5    1 1 0.5 2 0.5    2 1 1 1 0.5    1 0.5 1 1 1 0.5    2 1 2    1 0.5 0.5    ,2,1,0,7,13,4,0,0,0,0,0,3,0,0,0
"இலனென்னும் எவ்வம் உரையாமை ஈதல்
குலனுடையான் கண்ணே யுள.",223,1 1 1 0.5 1 0.5    1 0.5 1 0.5    1 1 2 1    2 1 0.5    1 1 1 1 2 0.5    1 0.5 2    1 1    ,3,1,0,7,11,3,0,0,0,3,0,0,0,0,0
"இன்னாது இரக்கப் படுதல் இரந்தவர்
இன்முகங் காணும் அளவு.",224,1 0.5 2 0.5    1 1 0.5 1 0.5    1 1 1 0.5    1 1 0.5 1 1 0.5    1 0.5 1 1 0.5    2 1 0.5    1 1 1    ,5,0,0,9,13,2,0,0,0,0,0,1,0,0,0
"ஆற்றுவார் ஆற்றல் பசிஆற்றல் அப்பசியை
மாற்றுவார் ஆற்றலின் பின்.",225,2 0.5 1 2 0.5    2 0.5 1 0.5    1 1    1 0.5 1 1 1    2 0.5 1 2 0.5    2 0.5 1 1 0.5    1 0.5    ,1,3,0,10,10,3,0,0,0,1,0,0,0,0,0
"அற்றார் அழிபசி தீர்த்தல் அஃதொருவன்
பெற்றான் பொருள்வைப் புழி.",226,1 0.5 2 0.5    1 1 1 1    2 0.5 0.5 1 0.5    1 0.5 1 1 1 0.5    1 0.5 2 0.5    1 1 0.5 1 0.5    1 1    ,3,0,1,10,12,3,0,0,0,1,0,0,0,0,0
"பாத்தூண் மரீஇ யவனைப் பசியென்னும்
தீப்பிணி தீண்டல் அரிது.",227,2 0.5 2 0.5    1 3    1 1 1 0.5    1 0.5* 1 0.5 1 0.5    2 0.5 1 1    2 0.5 1 0.5    1 1 0.5    ,1,0,0,8,10,4,1,0,0,1,0,1,1,0,0
"ஈத்துவக்கும் இன்பம் அறியார்கொல் தாமுடைமை
வைத்திழக்கும் வன்க ணவர்.",228,2 0.5 1 1 0.5 1 0.5    1 0.5 1 0.5    1 0.5* 2 0.5 1 0.5    2 1 1 1    2 0.5 1 1 0.5 1 0.5    1 0.5 1    1 1 0.5    ,2,1,0,12,13,3,0,0,0,2,0,0,1,0,0
"இரத்தலின் இன்னாது மன்ற நிரப்பிய
தாமே தமியர் உணல்.",229,1 1 0.5 1 1 0.5    1 0.5 2 0.5    1 0.5 1    1 1 0.5 1 1    2 2    1 1 1 0.5    1 1 0.5    ,3,0,0,7,13,3,0,0,0,0,0,1,0,0,0
"சாதலின் இன்னாத தில்லை இனிததூஉம்
ஈதல் இயையாக் கடை.",230,2 1 1 0.5    1 0.5 2 1    1 0.5 1    1 1 1 3 0.5    2 1 0.5    1 1 2 0.5    1 1    ,3,1,0,6,8,3,1,0,0,3,0,0,0,0,0
"ஈதல் இசைபட வாழ்தல் அதுவல்லது
ஊதியம் இல்லை உயிர்க்கு.",231,2 1 0.5    1 1 1 1    2 0.5 1 0.5    1 1 1 0.5 1 0.5    2 0.5* 1 0.5    1 0.5 1    1 1 0.5 0.5 0.5    ,4,2,0,8,9,1,0,0,0,2,0,2,1,0,0
"உரைப்பார் உரைப்பவை எல்லாம் இரப்பார்க்கொன்று
ஈவார்மேல் நிற்கும் புகழ்.",232,1 1 0.5 2 0.5    1 1 0.5 1 1    1 0.5 2 0.5    1 1 0.5 2 0.5 0.5 1 0.5 0.5    2 2 0.5 2 0.5    1 0.5 1 0.5    1 1 0.5    ,4,1,0,14,7,5,0,0,0,3,0,1,0,0,0
"ஒன்றா உலகத்து உயர்ந்த புகழல்லால்
பொன்றாது நிற்பதொன் றில்.",233,1 0.5 2    1 1 1 0.5 0.5    1 1 0.5 0.5 1    1 1 1 0.5 2 0.5    1 0.5 2 0.5    1 0.5 1 1 0.5    1 0.5    ,3,0,0,10,12,3,0,0,0,0,0,2,0,0,0
"நிலவரை நீள்புகழ் ஆற்றின் புலவரைப்
போற்றாது புத்தேள் உலகு.",234,1 1 1 1    2 0.5 1 1 0.5    2 0.5 1 0.5    1 1 1 1 0.5    2 0.5 2 0.5    1 0.5 2 0.5    1 1 0.5    ,1,1,0,8,11,4,0,0,0,2,0,2,0,0,0
"நத்தம்போல் கேடும் உளதாகும் சாக்காடும்
வித்தகர்க் கல்லால் அரிது.",235,1 0.5 1 0.5 2 0.5    2 1 0.5    1 1 2 1 0.5    2 0.5 2 1 0.5    1 0.5 1 1 0.5 0.5    1 0.5 2 0.5    1 1 0.5    ,2,0,0,12,11,6,0,0,0,0,0,1,0,0,0
"தோன்றின் புகழொடு தோன்றுக அஃதிலார்
தோன்றலின் தோன்றாமை நன்று.",236,2 0.5 1 0.5    1 1 1 0.5    2 0.5 1 1    1 0.5 1 2 0.5    2 0.5 1 1 0.5    2 0.5 2 1    1 0.5 0.5    ,1,0,1,8,10,6,0,0,0,1,0,2,0,0,0
